MP-ID,Pretty Formula,Band gap,Energy above Hull,Composition,F-Block,Noble-Gas,Gravimetric Capacity,Unfit elements,Gaseous Compounds,ICSD_IDS,Experimental ICSD ID,Space Group Symbol,Crystal System
mp-777676,LiVF3,2.3764,0.070271550999997,Li1 V1 F3,0,0,1399.74935572706,0,0,[],1,C2/c,monoclinic
mp-777700,LiFeF4,2.7723,0.068157436018519,Li1 Fe1 F4,0,0,1158.67162874805,0,0,[],1,P-1,triclinic
mp-777807,Li2VF5,2.039,0.086048226093747,Li2 V1 F5,0,0,1006.16012778134,0,0,[],1,Pbam,orthorhombic
mp-777854,LiV4OF11,0,0.048784480441168,Li1 V4 O1 F11,0,0,369.070738124804,0,0,[],1,P1,triclinic
mp-777881,Fe10O11F9,0.2794,0.087426673916667,Fe10 O11 F9,0,0,177.595366268646,0,0,[],1,P1,triclinic
mp-778072,Ba2Y5F19,6.1194,0.099324216634622,Ba2 Y5 F19,0,0,148.867811577627,0,0,[],1,P2_1,monoclinic
mp-778119,LiFe2OF3,2.783,0.044051986071427,Li1 Fe2 O1 F3,0,0,839.136273777051,0,0,[],1,Pnma,orthorhombic
mp-778183,Mn12O7F17,0.1194,0.06632754288195,Mn12 O7 F17,0,0,146.953297020521,0,0,[],1,P1,triclinic
mp-778241,Li2V3F8,2.2001,0.086961446153844,Li2 V3 F8,0,0,504.559666800042,0,0,[],1,R-3m,trigonal
mp-778245,Li4FeF8,0,0.074911947500006,Li4 Fe1 F8,0,0,682.523667730609,0,0,[],1,Pnma,orthorhombic
mp-778467,Fe5O3F7,0,0.078962297333323,Fe5 O3 F7,0,0,349.404170628638,0,0,[],1,P1,triclinic
mp-778510,LiFeF4,3.1302,0.014758871851852,Li1 Fe1 F4,0,0,1158.67162874805,0,0,[],1,Pbcn,orthorhombic
mp-778512,LiFeF4,2.7871,0.103028227060186,Li1 Fe1 F4,0,0,1158.67162874805,0,0,[],1,Pnma,orthorhombic
mp-778616,VO2F,1.4877,0.028514495416666,V1 O2 F1,0,0,1577.41853635823,0,0,[],1,P1,triclinic
mp-778990,Fe5O7F3,0,0.114030737333337,Fe5 O7 F3,0,0,358.755592294667,0,0,[],1,Pm,monoclinic
mp-779095,Mn3OF5,0,0.042864244027776,Mn3 O1 F5,0,0,583.019447639761,0,0,[],1,P-1,triclinic
mp-779300,LiFe2OF5,2.2848,0.054357160586417,Li1 Fe2 O1 F5,0,0,700.280063249574,0,0,[],1,Cc,monoclinic
mp-779315,VOF,0.7579,0.043656177083332,V1 O1 F1,0,0,1871.08801226585,0,0,[],1,Pm,monoclinic
